product_asin,date_clean,daily_count,daily_avg_rating,daily_spam_count
B018Y226XO,"March 25, 2017",3,4.666666666666667,0
B018Y229OU,"April 09, 2016",3,5.0,0
B018Y229OU,"April 20, 2016",3,4.0,0
B018Y229OU,"April 28, 2017",3,4.333333333333333,0
B018Y229OU,"August 19, 2016",3,4.333333333333333,0
B018Y229OU,"August 26, 2016",3,4.333333333333333,0
B018Y229OU,"December 05, 2015",3,4.333333333333333,0
B018Y229OU,"December 09, 2016",3,4.666666666666667,0
B018Y229OU,"December 26, 2016",3,4.666666666666667,0
"B00QWO9P0O,B01IB83NZ","August 15, 2016",3,5.0,1
"B00QWO9P0O,B01IB83NZ","December 27, 2016",3,4.666666666666667,1
"B00QWO9P0O,B01IB83NZ","January 15, 2017",3,5.0,2
"B00QWO9P0O,B01IB83NZ","January 18, 2017",3,5.0,2
"B00QWO9P0O,B01IB83NZ","November 03, 2015",3,4.666666666666667,1
"B00QWO9P0O,B01IB83NZ","November 16, 2016",3,3.3333333333333335,1
"B00QWO9P0O,B01IB83NZ","November 29, 2016",3,4.666666666666667,1
"B00QWO9P0O,B01IB83NZ","September 30, 2016",3,4.666666666666667,2
B00TSUGXKE,"June 21, 2017",3,4.666666666666667,0
B018Y225IA,"January 31, 2017",3,4.0,0
B018Y225IA,"July 19, 2017",3,4.333333333333333,0
B018Y225IA,"July 29, 2016",3,4.666666666666667,0
B018Y225IA,"June 17, 2016",3,5.0,0
B018Y225IA,"October 07, 2016",3,4.666666666666667,0
B018Y225IA,"September 09, 2016",3,4.333333333333333,0
B018Y226XO,"December 16, 2016",3,4.333333333333333,0
B018Y229OU,"December 31, 2015",3,3.6666666666666665,0
B018Y229OU,"February 05, 2016",3,4.0,0
B018Y229OU,"February 08, 2017",3,3.6666666666666665,0
B018Y229OU,"February 12, 2016",3,3.6666666666666665,0
"B00QWO9P0O,B00LH3DMU","February 21, 2017",3,4.666666666666667,2
"B00QWO9P0O,B00LH3DMU","January 04, 2017",3,5.0,3
"B00QWO9P0O,B00LH3DMU","January 09, 2017",3,4.0,1
"B00QWO9P0O,B00LH3DMU","January 14, 2016",3,5.0,0
"B00QWO9P0O,B00LH3DMU","January 18, 2017",3,5.0,1
"B00QWO9P0O,B00LH3DMU","January 23, 2017",3,4.0,2
"B00QWO9P0O,B00LH3DMU","July 13, 2016",3,4.666666666666667,2
"B00QWO9P0O,B00LH3DMU","July 22, 2017",3,5.0,1
"B00QWO9P0O,B00LH3DMU","June 06, 2017",3,5.0,3
"B00QWO9P0O,B00LH3DMU","June 16, 2016",3,5.0,3
"B00QWO9P0O,B00LH3DMU","March 23, 2016",3,5.0,1
"B00QWO9P0O,B00LH3DMU","March 31, 2016",3,4.666666666666667,2
B018Y229OU,"February 24, 2017",3,4.333333333333333,0
B018Y229OU,"February 26, 2016",3,4.0,0
B018Y229OU,"February 27, 2016",3,5.0,0
B018Y229OU,"January 05, 2016",3,5.0,1
B018Y229OU,"January 08, 2017",3,3.0,0
B018Y229OU,"January 10, 2016",3,4.666666666666667,0
B018Y229OU,"January 16, 2016",3,4.0,0
B018Y229OU,"January 23, 2016",3,4.333333333333333,0
B018Y229OU,"January 25, 2016",3,4.666666666666667,0
B018Y229OU,"January 29, 2016",3,4.0,0
B018Y229OU,"January 30, 2017",3,5.0,0
B018Y229OU,"July 22, 2016",3,4.333333333333333,0
B018Y229OU,"July 23, 2016",3,4.0,0
B018Y229OU,"July 29, 2016",3,5.0,0
"B00QWO9P0O,B00LH3DMU","April 08, 2017",3,4.666666666666667,2
"B00QWO9P0O,B00LH3DMU","April 21, 2017",3,5.0,1
"B00QWO9P0O,B00LH3DMU","August 08, 2016",3,4.666666666666667,3
"B00QWO9P0O,B00LH3DMU","August 13, 2016",3,4.666666666666667,2
"B00QWO9P0O,B00LH3DMU","August 18, 2016",3,5.0,2
B018T075DC,"March 15, 2017",3,5.0,0
B018T075DC,"March 16, 2017",3,5.0,0
B018T075DC,"May 26, 2017",3,4.666666666666667,0
B018T075DC,"November 28, 2016",3,3.3333333333333335,0
B018Y224PY,"February 17, 2017",3,4.333333333333333,0
B018Y225IA,"February 13, 2017",3,5.0,0
B018Y225IA,"February 20, 2017",3,5.0,0
B018Y225IA,"January 30, 2017",3,4.666666666666667,0
"B00QWO9P0O,B00LH3DMU","May 10, 2017",3,4.666666666666667,0
"B00QWO9P0O,B00LH3DMU","November 14, 2016",3,2.3333333333333335,0
"B00QWO9P0O,B00LH3DMU","October 24, 2016",3,5.0,0
B00U3FPN4U,"February 26, 2016",3,5.0,1
B00U3FPN4U,"January 04, 2016",3,5.0,0
B00U3FPN4U,"January 07, 2017",3,5.0,0
B00U3FPN4U,"January 08, 2016",3,5.0,0
B018T075DC,"January 17, 2017",3,4.666666666666667,0
B018T075DC,"January 26, 2017",3,5.0,0
"B00QWO9P0O,B00LH3DMU","August 30, 2016",3,5.0,2
"B00QWO9P0O,B00LH3DMU","December 10, 2015",3,5.0,1
"B00QWO9P0O,B00LH3DMU","December 17, 2015",3,5.0,1
"B00QWO9P0O,B00LH3DMU","December 21, 2015",3,3.6666666666666665,0
"B00QWO9P0O,B00LH3DMU","December 30, 2015",3,3.6666666666666665,2
